sub_sector,quarter,lm_mean,finbert_mean,gpt_mean,n_companies,sector
Advertising Agencies,2023Q4,0.1868961038961039,0.3300255692659502,0.26636363636363636,2,IT
Advertising Agencies,2024Q1,0.18205420466058764,0.40601693471082656,0.39577507598784195,2,IT
Advertising Agencies,2024Q2,0.23997354497354495,0.41588716185429975,0.3504761904761905,2,IT
Advertising Agencies,2024Q3,0.23864583333333333,0.4021780662611127,0.40775,2,IT
Capital Markets,2023Q4,0.1678743961352657,0.5050380703169799,0.3681159420289855,1,IT
Capital Markets,2024Q1,0.17857142857142858,0.4606165861976998,0.3666666666666667,1,IT
Capital Markets,2024Q2,0.17361111111111113,0.5330080725349641,0.375,1,IT
Capital Markets,2024Q3,0.1323529411764706,0.3816447637920432,0.47096774193548385,1,IT
Communication Equipment,2023Q4,0.14903442766954364,0.3579840001422509,0.30698725600251775,6,IT
Communication Equipment,2024Q1,0.1635500810406454,0.45615269093169825,0.33222531252035853,6,IT
Communication Equipment,2024Q2,0.17122433485178581,0.4311738720385674,0.3194458591517415,6,IT
Communication Equipment,2024Q3,0.18029742970115148,0.4734403029479908,0.41414204756596057,6,IT
Computer Hardware,2023Q4,0.14384735036588697,0.3815491716096324,0.3010899238351892,6,IT
Computer Hardware,2024Q1,0.15448205210063462,0.4209968333955851,0.3427617099765267,6,IT
Computer Hardware,2024Q2,0.12853424748215236,0.4051157206191247,0.33653744713781525,6,IT
Computer Hardware,2024Q3,0.18777958976692485,0.46685826795516777,0.34010799845580486,6,IT
Consulting Services,2023Q4,0.25455709165386586,0.47891375559672555,0.3010752688172043,1,IT
Consulting Services,2024Q1,0.24248826291079809,0.35766392763258076,0.2676056338028169,1,IT
Consulting Services,2024Q2,0.1773224043715847,0.41831677972690245,0.28852459016393445,1,IT
Consulting Services,2024Q3,0.13666666666666666,0.34866683030501006,0.292,1,IT
Consumer Electronics,2023Q4,0.10833333333333332,0.3241352328914217,0.28500000000000003,1,IT
Consumer Electronics,2024Q1,0.09649122807017543,0.4496700712643041,0.3649122807017544,1,IT
Consumer Electronics,2024Q2,0.08333333333333333,0.34764584229112816,0.2692307692307692,1,IT
