ticker,date,quarter,sector,n_segments,n_management,n_analyst
AAPL,2024-02-01,2023Q4,IT,35,23,12
AAPL,2024-05-02,2024Q1,IT,47,29,18
AAPL,2024-08-01,2024Q2,IT,65,37,28
AAPL,2024-10-31,2024Q3,IT,54,34,20
ABNB,2024-02-13,2023Q4,IT,47,30,17
ABNB,2024-02-13,2023Q4,IT,47,30,17
ABNB,2024-05-08,2024Q1,IT,42,26,16
ABNB,2024-05-08,2024Q1,IT,42,26,16
ABNB,2024-08-06,2024Q2,IT,39,23,15
ABNB,2024-08-06,2024Q2,IT,39,23,15
ABNB,2024-11-07,2024Q3,IT,35,20,15
ABNB,2024-11-07,2024Q3,IT,35,20,15
ACN,2024-03-21,2023Q4,IT,33,20,13
ACN,2024-03-21,2023Q4,IT,33,20,13
ACN,2024-06-20,2024Q1,IT,42,23,19
ACN,2024-06-20,2024Q1,IT,42,23,19
ACN,2024-09-26,2024Q2,IT,57,34,23
ACN,2024-09-26,2024Q2,IT,57,34,23
ACN,2024-12-19,2024Q3,IT,59,31,28
ACN,2024-12-19,2024Q3,IT,59,31,28
ADBE,2024-03-14,2023Q4,IT,38,26,12
ADBE,2024-03-14,2023Q4,IT,38,26,12
ADBE,2024-06-13,2024Q1,IT,48,27,21
ADBE,2024-06-13,2024Q1,IT,48,27,21
ADBE,2024-09-12,2024Q2,IT,36,21,15
ADBE,2024-09-12,2024Q2,IT,36,21,15
ADBE,2024-12-11,2024Q3,IT,36,22,14
ADBE,2024-12-11,2024Q3,IT,36,22,14
ADI,2024-02-21,2023Q4,IT,31,20,11
ADI,2024-05-22,2024Q1,IT,38,25,13
ADI,2024-08-21,2024Q2,IT,54,30,24
ADI,2024-11-26,2024Q3,IT,31,20,11
ADP,2024-01-31,2023Q4,IT,56,33,23
ADP,2024-01-31,2023Q4,IT,56,33,23
ADP,2024-05-01,2024Q1,IT,47,27,20
ADP,2024-05-01,2024Q1,IT,47,27,20
ADP,2024-07-31,2024Q2,IT,63,28,35
ADP,2024-07-31,2024Q2,IT,63,28,35
ADP,2024-10-30,2024Q3,IT,57,31,26
ADP,2024-10-30,2024Q3,IT,57,31,26
ADSK,2024-02-29,2023Q4,IT,41,26,15
ADSK,2024-02-29,2023Q4,IT,41,26,15
ADSK,2024-06-11,2024Q1,IT,74,35,39
ADSK,2024-06-11,2024Q1,IT,74,35,39
ADSK,2024-08-29,2024Q2,IT,53,25,26
ADSK,2024-08-29,2024Q2,IT,53,25,26
ADSK,2024-11-26,2024Q3,IT,58,32,26
ADSK,2024-11-26,2024Q3,IT,58,32,26
AKAM,2024-02-13,2023Q4,IT,53,31,22
